,ICB984
OVTOKO,0.08874386185427298
JHH7,0.08847115998096826
RL952,0.08827797351568856
HS578T,0.08826119099663468
SKMEL30,0.088174052831241
U87MG,0.08799512879615574
NCIH2087,0.0872647015280803
MDAMB453,0.0870370813374971
TE15,0.08701966542490548
BL70,0.08674698912746438
TE5,0.08658996822789007
SKMM2,0.08652126407871258
SUPM2,0.08622387945031877
KYSE510,0.08603563832778359
LN18,0.0855477945095411
EFO21,0.08527425627367755
MFE296,0.0849615460138989
SUDHL4,0.08489089576359575
PANC1005,0.08475129115819895
HPAFII,0.08473928416908412
C32,0.08447691782495853
HMC18,0.08333000268179651
HLF,0.08310124056659791
SUDHL10,0.08307440278066931
HDQP1,0.08296963677872803
KNS81,0.08292090497566951
NCIH1339,0.0828284237040605
HT1197,0.08237047207694351
ASPC1,0.08224378250874068
KALS1,0.08198716454632986
OPM2,0.08175476166413162
WM1799,0.08014009584874145
MORCPR,0.07931750596959092
PLCPRF5,0.07916786534964156
HCC2935,0.07882279425894553
COLO678,0.07878933688661813
PK45H,0.07836018520696972
NCIH226,0.07756734039450211
GI1,0.07744123628096951
GCIY,0.07733800774270076
TEN,0.0773231901659339
NCIH3255,0.07717991264857937
L428,0.07639130715695222
MALME3M,0.07591763671827265
HPAC,0.07585445755475645
FU97,0.07546001819244304
MESSA,0.07523689413861753
HCC56,0.0751488263821229
MCAS,0.07389794711931898
HCC78,0.0734091575824963
HEC1B,0.07336202528144813
U118MG,0.07302024382071617
TOV21G,0.07245253797332403
HEP3B217,0.07227132551257201
MCF7,0.0721620461054562
AMO1,0.07192390949909504
KYSE30,0.07172203933381821
KNS42,0.07151437398930849
NUGC4,0.07150451871331774
COLO201,0.071226792351527
DV90,0.07109464649224068
BL41,0.07103186747480783
NCIH1975,0.07099044721099701
SNU449,0.070971273989062
LS123,0.07093194050784603
OCIAML5,0.07075511207772923
HT1080,0.07070506146300477
MONOMAC1,0.06997748718763212
BCPAP,0.06991186618732048
JHUEM2,0.06976295798359294
SQ1,0.06947616070226668
NCIH358,0.06938932666693634
SNU387,0.06925580433781181
SKCO1,0.06905995295287552
GMS10,0.06900564178991421
DEL,0.06892684720673387
KMM1,0.06863334442211194
MJ,0.06857395746929025
KMBC2,0.06826640757119556
SKBR3,0.06784118683898867
OE33,0.06743207882651264
PANC0403,0.06702588635666759
KYSE140,0.06697917256076379
639V,0.06636539567058115
G402,0.0659898898539955
MC116,0.06548098255323949
MDAMB415,0.06524218362538627
KCL22,0.06522715084821284
NCIH1373,0.0650121562479144
MEC1,0.06488940566787628
ZR7530,0.0640884493878871
JURKAT,0.06332955389899735
SUDHL6,0.0625014789764795
SUPT1,0.06241562431877513
T84,0.06212145021423421
GRANTA519,0.06200838318383632
MEG01,0.06165303315486948
HEC1A,0.06149390257613538
T47D,0.061397680135366554
KMS12BM,0.061372189741246204
BT20,0.059393677054476963
PATU8902,0.058887838181729546
L363,0.05847178242724614
P3HR1,0.05752497961204511
SCC9,0.057083727222828354
697,0.05628689338136608
REH,0.05548916550554948
KHM1B,0.05472183260110925
MOLT16,0.05456632001803343
HT29,0.05427402167758287
KE97,0.05327978961538302
SNGM,0.05306940577084896
OCUM1,0.05297848495565316
SW620,0.05195477566742001
HEPG2,0.05111353996175832
SIGM5,0.050882483324915254
RAJI,0.04880178922973849
BDCM,0.0484145827238922
HEC59,0.047885500973813444
P12ICHIKAWA,0.04707012133062357
JHH5,0.04679123202176264
KO52,0.04615420815372459
KYSE150,0.04588092937060403
CORL23,0.04514818306218762
KU812,0.044805602829684425
CI1,0.04435824701335382
AN3CA,0.04276629742337148
HUH1,0.042577800200917296
EFM19,0.04252932776858355
KASUMI2,0.04121490683448083
HUT78,0.04100475393207221
IM95,0.039705177013953624
OCIAML2,0.03952226470788027
TYKNU,0.03855624746597841
JVM3,0.0381512371838132
RPMI8402,0.03781975958027863
U937,0.03627559057420835
KE39,0.03553110076414923
RKO,0.033900422589866364
PFEIFFER,0.03180220790011155
DOHH2,0.03075958723372815
F36P,0.030209757028744247
P31FUJ,0.029848161822050655
JHH4,0.028936968098631295
NCIH1915,0.02873864278571646
HEC265,0.028361394487029953
TOLEDO,0.028064318524094977
HT1376,0.024993653998285313
HT,0.02438948640859773
SUDHL8,0.02416450704507913
KARPAS299,0.02207965678046754
NCIH441,0.021310965148882404
JM1,0.02114789651428038
LS513,0.020960709148432732
KG1,0.01996835230181603
HEC6,0.018716550088088944
PK59,0.018413092145833008
SNU1,0.016339503568880472
HEC151,0.013136759921061213
MDAMB435S,0.012124318953106809
HH,0.011698011445472261
KARPAS422,0.010561663945199074
ALLSIL,0.009286341142871269
NCIN87,0.006543495056255459
MINO,0.002391884200300262
KYM1,-0.014545891243792864
EB1,-0.017123945075736453
