,MED411
UMUC3,0.06346142389842706
T98G,0.06314189390589094
NCIH1703,0.06305919433938685
NCIH1568,0.06293844908350239
COLO829,0.06286391836955225
CAPAN1,0.06251698746256089
CAL851,0.062000250159180356
HCC1143,0.06192599425286491
MHHES1,0.06187570884474085
NCIH1573,0.061869452677469364
CAL51,0.06161971831833845
HEYA8,0.061613383638547084
CAL120,0.06141609406381945
SH10TC,0.06113791150148662
SKHEP1,0.06098357349411065
HUPT4,0.06059489957807399
KPL1,0.060501311493910755
SKLU1,0.060477599310723294
HT1197,0.06026287346350517
HS934T,0.060236383953896605
SNU201,0.06023476122158142
RERFLCMS,0.05984991460569391
HCC38,0.05965979048433722
HELA,0.059633339539385814
KMRC1,0.05960393787954928
GAMG,0.059391660313050404
MESSA,0.059300833653726126
42MGBA,0.05921755114353679
TUHR10TKB,0.059040791130942565
OV56,0.05894093315804644
SNU1077,0.05872532791724388
SCABER,0.0586924834261354
NCIH647,0.058552946715300626
SW1990,0.0585317457599281
CAL29,0.058393348443954315
MDAMB231,0.0578363166744973
YAPC,0.05779421156452001
KNS60,0.057427027310133334
HOP62,0.057368929949418744
TUHR14TKB,0.05683768188927983
BCPAP,0.05681216595668931
HUCCT1,0.056566413950402225
SNU626,0.05649942083784101
OV90,0.05641387942081802
PATU8988S,0.05635769666747894
HCC827,0.05632793581999921
DKMG,0.056127245917439963
NCIH1563,0.05569620669490307
MDAMB157,0.055603123703655194
SF126,0.05551782867094382
KYSE520,0.05540617817050154
MDAMB415,0.05537130173885152
K029AX,0.055127157361590566
RERFLCAI,0.054901099974248344
HS888T,0.054862710203297325
NCIH2085,0.05458152858884374
ASPC1,0.054574466736905254
639V,0.05432143020787875
SNUC4,0.054265703763606066
SNU840,0.05409494580833303
SNU8,0.05359841878289441
YD8,0.05275245640457063
WM115,0.052726442372088345
CAS1,0.05238346781819059
A498,0.05225242476638964
MALME3M,0.05220434231840731
BFTC909,0.052183566703502215
SNU489,0.052175313421431294
EFO27,0.05166165066491483
SNU466,0.05155629251996116
IALM,0.051468704552272156
OVTOKO,0.05140665552996739
RKN,0.05070167773626245
ML1,0.050484162851113394
G401,0.05033678712675164
UACC62,0.05023898348863721
MKN74,0.05019640731409913
MFE319,0.050168001393175
COV644,0.050077221550788246
NCIH2291,0.05006724103825966
OE19,0.050011313385992684
SJSA1,0.049943305888277015
NCIH2122,0.04991015778162002
RL952,0.0498074120640053
CAKI2,0.04969004872922843
BXPC3,0.0496796145523714
SNU478,0.04967436360929043
JHUEM7,0.049612178097685436
CAL78,0.04935993848580618
NCIH508,0.049253342201114436
HS729,0.04918551121553537
TCCSUP,0.048913928866797206
PSN1,0.04885480451054375
LCLC103H,0.048738768850495905
COLO201,0.04856600061471622
AU565,0.04798177182410522
KG1C,0.04795548090967128
TM31,0.04793256886282916
PANC0327,0.04791545093676504
CAL62,0.047717520514854644
PLCPRF5,0.04758142282485656
HEC59,0.04754314255466788
HT144,0.04731871857420581
SNU81,0.04718499240008686
T24,0.04681062142403575
HOP92,0.04667453662921276
SW1271,0.04652700446498428
SF295,0.04649152394159312
KMRC3,0.04638688740656478
CAPAN2,0.04635259553863939
IGR39,0.04634206150799223
NCIH1339,0.04633612380346156
HCC1937,0.04628933385852952
JHH2,0.04627120356015128
SNU1041,0.04573441122574756
NCIH1373,0.045631996867440426
SKBR3,0.04545035413478559
HCC366,0.045438217794603296
LUDLU1,0.04532182407274214
VMRCRCZ,0.04517515991058219
CAL33,0.044895065526578265
647V,0.044750767420255834
JHOM1,0.04437346719816697
HSC2,0.04432440386619831
JURKAT,0.04363647433873851
MEWO,0.04341807092961798
HMC18,0.04321289795191347
SNU387,0.04308349291352784
SNU1033,0.04305702342325946
SW1783,0.04302321555699847
OVISE,0.0428406818237111
HLF,0.042808939901619034
SW48,0.04273648135836763
LN18,0.04251174883704113
PECAPJ15,0.042496711125754254
LXF289,0.04243841528381667
BHY,0.04218481377174003
COV318,0.04210175115932583
SW1710,0.04209696226264209
CL34,0.042037641949606144
KASUMI2,0.04195949719142253
CORL105,0.04164636178665215
