,MED2312
KMS12BM,-0.0068423035735406465
SNU1,-0.006918566272306769
LS411N,-0.006949904545415308
KASUMI2,-0.007145772013120533
HEC59,-0.007717022757074085
EFM19,-0.007962192231818082
OCIAML2,-0.008100277200605752
KYSE30,-0.00846994420435621
RKO,-0.008526072295653345
MDAMB415,-0.008631311786836912
ASPC1,-0.009030906731766196
PANC0203,-0.009123268622850162
KYSE150,-0.009584441835195691
PK1,-0.009813002511952766
SNGM,-0.009915022042182281
PFEIFFER,-0.0114497667773183
CCK81,-0.011695654787517861
P31FUJ,-0.011726348501623978
TE9,-0.01181088098727141
697,-0.011923645971234405
HPAFII,-0.012280594584445732
TOV21G,-0.013104300943844259
HH,-0.014128172562521198
AN3CA,-0.014171466422596927
SKCO1,-0.014356690165721702
RAJI,-0.014531088651597015
TE15,-0.014715119683700324
HT29,-0.014809461581444965
KARPAS299,-0.015902771806867652
PANC1005,-0.015911686051062784
HEC151,-0.015990767197133528
HUPT3,-0.016068959089960786
NCIH1975,-0.016362356816002736
OE33,-0.016963047292549625
SW620,-0.018015824143920726
ALLSIL,-0.01815456528650204
HT1376,-0.019209510493074306
SCC9,-0.01926289196031074
EFO21,-0.01997592765508423
CORL23,-0.020577708195065714
MONOMAC1,-0.020730254843220594
NCIH3255,-0.02145087720753092
KU812,-0.022851704236837047
MCAS,-0.023168086293821267
RT4,-0.023294864791239402
