,MB002,COSMIC ID
cosmic_1298362,-0.4146599523446379,1298362
cosmic_910947,-0.41493777745846305,910947
cosmic_753576,-0.4150027302499528,753576
cosmic_949088,-0.4150466869174412,949088
cosmic_930299,-0.4150722264261706,930299
cosmic_908148,-0.4159445827209076,908148
cosmic_1524414,-0.4161065557168909,1524414
cosmic_1240212,-0.4161320755655851,1240212
cosmic_946354,-0.4161938368264248,946354
cosmic_687459,-0.41651816311937084,687459
cosmic_908143,-0.4165661775531269,908143
cosmic_908131,-0.41663566080124065,908131
cosmic_908472,-0.41675573911687985,908472
cosmic_1240197,-0.41689359768695766,1240197
cosmic_910919,-0.4171270194744707,910919
cosmic_930298,-0.4177066184666186,930298
cosmic_1330984,-0.4177069533637742,1330984
